id;classe;texte
1;CP;Viens faire des mathématiques avec la maîtresse du CP, chaque bonne réponse te rapporte des pièces !
2;CP;La maîtresse du CP propose des exercices de français, réponds bien pour gagner des pièces !
3;CP;Anglais du CP : apprends de nouveaux mots et repars avec des pièces !
4;CP;Une histoire à lire avec la maîtresse du CP, avec des pièces à la clé !
5;CP;Un peu de logique avec la maîtresse du CP ? Des pièces sont à gagner !
6;CP;Plus tu réussis en mathématiques, plus la maîtresse du CP te donne de pièces !
7;CP;La maîtresse du CP t'attend pour un exercice de français qui rapporte des pièces !
8;CP;Anglais, lecture ou logique : choisis ta matière avec la maîtresse du CP !
9;CP;Chaque calcul juste en mathématiques te fait gagner des pièces !
10;CP;Viens t'entraîner en français, la maîtresse du CP te récompense en pièces !
11;CP;Une nouvelle histoire du CP à lire, et des pièces pour toi !
12;CP;Un défi de logique avec la maîtresse du CP, ça te dit ? Il y a des pièces à la clé !
13;CP;La maîtresse du CP a des mots d'anglais à te faire découvrir, avec des pièces en récompense !
14;CP;Réussis ton exercice de mathématiques du CP et repars avec des pièces !
15;CP;Mathématiques, français, anglais, lecture ou logique : la maîtresse du CP a de quoi te faire gagner des pièces !
16;CP;Sais-tu que tes pièces permettent d'acheter des tenues à la boutique ?
17;CP;Avec les pièces gagnées en classe, tu peux ouvrir des coffres de cartes à la boutique !
18;CP;Va voir la boutique : des tenues rigolotes t'attendent contre tes pièces !
19;CP;Un coffre de cartes t'attend à la boutique, grâce aux pièces que tu as gagnées !
20;CP;Plus tu gagnes de pièces avec la maîtresse du CP, plus tu peux t'acheter de tenues et de coffres de cartes !
21;CE1;Le maître du CE1 t'attend pour des mathématiques qui rapportent des pièces !
22;CE1;Un exercice de grammaire du CE1 : réponds bien et gagne des pièces !
23;CE1;La conjugaison n'a plus de secret ? Viens gagner des pièces avec le maître du CE1 !
24;CE1;L'orthographe du CE1 te rapporte des pièces à chaque bonne réponse !
25;CE1;Anglais du CE1 : apprends des mots et repars avec des pièces !
26;CE1;Une histoire à lire avec le maître du CE1, avec des pièces à la clé !
27;CE1;Un défi de logique avec le maître du CE1, ça te dit ? Des pièces sont en jeu !
28;CE1;Grammaire, conjugaison ou orthographe : le maître du CE1 te récompense en pièces !
29;CE1;Chaque calcul juste en mathématiques du CE1 te fait gagner des pièces !
30;CE1;Le maître du CE1 a un nouveau texte à te faire lire, avec des pièces à gagner !
31;CE1;Anglais, grammaire ou logique : choisis ta matière avec le maître du CE1 !
32;CE1;Un exercice de conjugaison qui rapporte des pièces, ça te tente ?
33;CE1;L'orthographe du CE1 devient facile avec de l'entraînement, et ça rapporte des pièces !
34;CE1;Un peu de logique avec le maître du CE1 ? Il y a des pièces à gagner !
35;CE1;Plus tu réussis en mathématiques, plus le maître du CE1 te donne de pièces !
36;CE1;Sais-tu que tes pièces permettent d'acheter des tenues à la boutique ?
37;CE1;Avec les pièces gagnées en classe, tu peux ouvrir des coffres de cartes à la boutique !
38;CE1;Va voir la boutique : des tenues rigolotes t'attendent contre tes pièces !
39;CE1;Un coffre de cartes t'attend à la boutique, grâce aux pièces que tu as gagnées !
40;CE1;Plus tu gagnes de pièces avec le maître du CE1, plus tu peux t'acheter de tenues et de coffres de cartes !
41;CE2;La maîtresse du CE2 t'attend pour des mathématiques qui rapportent des pièces !
42;CE2;Un exercice de grammaire du CE2 : réponds bien et gagne des pièces !
43;CE2;La conjugaison n'a plus de secret ? Viens gagner des pièces avec la maîtresse du CE2 !
44;CE2;L'orthographe du CE2 te rapporte des pièces à chaque bonne réponse !
45;CE2;Anglais du CE2 : apprends des mots et repars avec des pièces !
46;CE2;Une histoire à lire avec la maîtresse du CE2, avec des pièces à la clé !
47;CE2;Un défi de logique avec la maîtresse du CE2, ça te dit ? Des pièces sont en jeu !
48;CE2;Grammaire, conjugaison ou orthographe : la maîtresse du CE2 te récompense en pièces !
49;CE2;Chaque calcul juste en mathématiques du CE2 te fait gagner des pièces !
50;CE2;La maîtresse du CE2 a un nouveau texte à te faire lire, avec des pièces à gagner !
51;CE2;Anglais, grammaire ou logique : choisis ta matière avec la maîtresse du CE2 !
52;CE2;Un exercice de conjugaison qui rapporte des pièces, ça te tente ?
53;CE2;L'orthographe du CE2 devient facile avec de l'entraînement, et ça rapporte des pièces !
54;CE2;Un peu de logique avec la maîtresse du CE2 ? Il y a des pièces à gagner !
55;CE2;Plus tu réussis en mathématiques, plus la maîtresse du CE2 te donne de pièces !
56;CE2;Sais-tu que tes pièces permettent d'acheter des tenues à la boutique ?
57;CE2;Avec les pièces gagnées en classe, tu peux ouvrir des coffres de cartes à la boutique !
58;CE2;Va voir la boutique : des tenues rigolotes t'attendent contre tes pièces !
59;CE2;Un coffre de cartes t'attend à la boutique, grâce aux pièces que tu as gagnées !
60;CE2;Plus tu gagnes de pièces avec la maîtresse du CE2, plus tu peux t'acheter de tenues et de coffres de cartes !
61;CM1;Le maître du CM1 t'attend pour des mathématiques qui rapportent des pièces !
