id;type;text;correct_answer;choice_2;choice_3;choice_4;passage_id;qtype
16000;passage;Milo est un chat noir et blanc qui habite avec Emma depuis trois ans, dans une petite maison au bord d'un village. Chaque matin, il attend patiemment devant la porte du jardin, espérant que quelqu'un la laisse entrouverte. Un jour, sa maman, pressée de partir travailler, oublie de bien la refermer, et Milo en profite pour se glisser dehors sans faire le moindre bruit. Dehors, l'herbe est encore couverte de rosée et le soleil du matin réchauffe doucement les feuilles. Milo aperçoit alors un papillon jaune qui voltige avec élégance près des fleurs du jardin voisin. Intrigue, il décide de le suivre, sautant de buisson en buisson, sans jamais regarder où ses pattes le mènent. Le papillon finit par s'envoler très haut, hors de portée, et Milo s'arrête brusquement, essouffle. En regardant autour de lui, plus rien ne lui semble familier : ni les arbres, ni les odeurs, ni les bruits du quartier. Une vague de panique le saisit et il se réfugie sous un épais buisson d'épines, où il reste immobile de longues minutes avant de se mettre à miauler, espérant désespérément qu'on vienne le chercher. De son côté, Emma remarque bien vite l'absence de son chat et parcourt le jardin en l'appelant, de plus en plus inquiète. C'est finalement près du grand chêne, au fond du terrain, qu'elle perçoit de faibles miaulements. En écartant les branches, elle découvre Milo, tremblant mais sain et sauf. Elle le serre contre elle et lui murmure des mots rassurants jusqu'à ce que ses ronronnements reviennent. Tous les deux rentrent alors tranquillement à la maison, heureux d'être réunis.;;;;;;
16001;question;Où habitent Milo et Emma ?;dans une petite maison au bord d'un village;dans un appartement en ville;à la campagne loin de tout;près de la mer;16000;L
16002;question;Où Milo se réfugie-t-il en attendant du secours ?;sous un buisson d'épines;dans la maison;sur le toit d'une voiture;près de la porte du jardin;16000;L
16003;question;Où Emma trouve-t-elle finalement Milo ?;près du grand chêne;près de la porte du jardin;chez le voisin;sur le toit de la maison;16000;L
16004;question;Comment se termine l'histoire ?;ils rentrent heureux d'être réunis;Milo repart aussitôt dans le jardin;Emma laisse Milo dehors;ils cherchent encore le papillon;16000;L
16005;question;"Que veut dire ""intrigue"" dans le texte ?";curieux, intéressé;fâché;fatigué;triste;16000;V
16006;question;"Que signifie ""Milo s'arrête brusquement, essouffle"" ?";il a du mal à respirer après l'effort;il a très faim;il a très sommeil;il a très froid;16000;V
16007;question;"Que veut dire ""une vague de panique le saisit"" ?";il est soudain envahi par la peur;il se sent très calme;il a envie de jouer;il a tout à coup sommeil;16000;V
16008;question;Pourquoi Milo ne fait-il pas attention au chemin qu'il prend ?;il est concentré sur le papillon qu'il poursuit;il connaît déjà très bien le quartier;Emma le guide;il suit une odeur de nourriture;16000;I
16009;question;Pourquoi la maman oublie-t-elle de refermer la porte ?;elle est pressée et distraite par ses pensées;elle le fait exprès;Milo l'en empêche;elle ne sait pas que Milo est là;16000;I
16010;question;Qu'est-ce qui montre qu'Emma est inquiète en cherchant Milo ?;elle parcourt tout le jardin en l'appelant;elle continue tranquillement son petit-déjeuner;elle attend sans bouger;elle repart travailler;16000;I
16011;question;Que fait Milo chaque matin avant que la porte ne soit ouverte ?;il attend patiemment devant la porte;il dort dans le jardin;il joue avec Emma;il mange son repas;16000;L
16012;question;Comment le papillon voltige-t-il près des fleurs ?;avec élégance;très lentement;en criant;il ne bouge pas;16000;L
16013;question;Que fait Milo une fois que le papillon s'envole hors de portée ?;il s'arrête brusquement, essoufflé;il continue de le suivre encore longtemps;il rentre directement à la maison;il retrouve tout de suite Emma;16000;L
16014;question;Que fait Emma une fois qu'elle a retrouvé Milo ?;elle le serre contre elle et lui murmure des mots rassurants;elle le gronde fermement;elle repart sans lui;elle l'attache avec une laisse;16000;L
16015;question;"Que veut dire ""l'herbe est encore couverte de rosée"" ?";l'herbe est humide de petites gouttes d'eau du matin;l'herbe est sèche et brûlée;l'herbe est couverte de neige;l'herbe vient d'être coupée;16000;V
16016;question;"Que signifie ""des mots rassurants"" ?";des paroles douces qui calment;des ordres donnés fermement;des cris de colère;des questions difficiles;16000;V
16017;question;"Que veut dire ""ses ronronnements reviennent"" ?";il redevient calme et heureux;il continue d'avoir peur;il s'endort profondément;il recommence à courir;16000;V
16018;question;Pourquoi Milo reste-t-il immobile de longues minutes avant de miauler ?;la peur le paralyse un moment avant qu'il ose se manifester;il attend qu'Emma vienne le chercher sans miauler;il n'a pas envie qu'on le retrouve;il s'est endormi sous le buisson;16000;I
16019;question;Qu'est-ce qui montre que Milo est épuisé après avoir couru derrière le papillon ?;il s'arrête brusquement, le souffle court;il continue de courir sans jamais s'arrêter;il retourne aussitôt jouer dans le jardin;il s'endort immédiatement sur place;16000;I
16020;question;Que peut-on déduire de la relation entre Milo et Emma à la fin de l'histoire ?;ils sont très attachés l'un à l'autre;ils se connaissent à peine;Emma se désintéresse de son chat;Milo préfère rester loin d'Emma;16000;I
