id;text;correct_answer;choice_2;choice_3;choice_4
18000;Que veut dire 'one' en français ?;un;huit;quatre;cinq
18001;Que veut dire 'thursday' en français ?;jeudi;vendredi;dimanche;samedi
18002;Que veut dire 'november' en français ?;novembre;juin;janvier;avril
18003;Comment dit-on 'juin' en anglais ?;june;may;november;july
18004;Comment dit-on 'souris' en anglais ?;mouse;cat;rabbit;cow
18005;Que veut dire 'six' en français ?;six;deux;sept;cinq
18006;Que veut dire 'white' en français ?;blanc;rose;violet;orange
18007;Comment dit-on 'lapin' en anglais ?;rabbit;dog;cow;sheep
18008;Comment dit-on 'poisson' en anglais ?;fish;pig;horse;bird
18009;Que veut dire 'orange' en français ?;orange;rose;gris;bleu
18010;Comment dit-on 'marron' en anglais ?;brown;red;grey;black
18011;Comment dit-on 'sept' en anglais ?;seven;one;three;six
18012;Comment dit-on 'un' en anglais ?;one;three;seven;six
18013;Que veut dire 'five' en français ?;cinq;huit;neuf;sept
18014;Comment dit-on 'mars' en anglais ?;march;september;june;may
18015;Que veut dire 'cat' en français ?;chat;chien;mouton;cochon
18016;Que veut dire 'july' en français ?;juillet;octobre;avril;décembre
18017;Que veut dire 'mouse' en français ?;souris;cochon;oiseau;lapin
18018;Comment dit-on 'neuf' en anglais ?;nine;two;four;eight
18019;Comment dit-on 'janvier' en anglais ?;january;november;october;march
18020;Que veut dire 'red' en français ?;rouge;violet;marron;vert
18021;Comment dit-on 'grand-mère' en anglais ?;grandma;brother;grandpa;sister
18022;Que veut dire 'april' en français ?;avril;novembre;octobre;juillet
18023;Que veut dire 'grandpa' en français ?;grand-père;frère;maman;bébé
18024;Que veut dire 'four' en français ?;quatre;six;deux;trois
18025;Comment dit-on 'cochon' en anglais ?;pig;sheep;mouse;horse
18026;Comment dit-on 'rose' en anglais ?;pink;white;red;black
18027;Que veut dire 'dad' en français ?;papa;frère;grand-mère;grand-père
18028;Comment dit-on 'août' en anglais ?;august;february;june;march
18029;Que veut dire 'wednesday' en français ?;mercredi;lundi;vendredi;samedi
18030;Comment dit-on 'oiseau' en anglais ?;bird;horse;cow;dog
18031;Que veut dire 'sister' en français ?;soeur;grand-mère;grand-père;maman
18032;Que veut dire 'august' en français ?;août;juin;septembre;avril
18033;Comment dit-on 'vert' en anglais ?;green;black;orange;yellow
18034;Comment dit-on 'jeudi' en anglais ?;thursday;friday;sunday;wednesday
18035;Que veut dire 'black' en français ?;noir;rose;jaune;blanc
18036;Comment dit-on 'deux' en anglais ?;two;eight;nine;ten
18037;Comment dit-on 'bleu' en anglais ?;blue;green;yellow;white
18038;Comment dit-on 'novembre' en anglais ?;november;may;july;october
18039;Comment dit-on 'septembre' en anglais ?;september;december;january;july
