id;text;correct_answer;choice_2;choice_3;choice_4
1001;Combien font 0 + 23 ?;23;33;13;25
1002;Combien font 2 + 6 ?;8;10;3;5
1003;Combien font 25 + 0 ?;25;26;28;23
1004;Combien font 11 + 11 ?;22;24;32;21
1005;Combien font 26 + 4 ?;30;40;33;35
1006;Combien font 24 + 8 ?;32;33;35;30
1007;Combien font 5 + 17 ?;22;32;19;23
1008;Combien font 49 + 0 ?;49;59;52;39
1009;Combien font 15 + 12 ?;27;24;25;28
1010;Combien font 25 + 11 ?;36;41;39;31
1011;Combien font 27 + 19 ?;46;41;43;47
1012;Combien font 3 + 21 ?;24;34;19;14
1013;Combien font 46 + 2 ?;48;49;51;46
1014;Combien font 34 + 16 ?;50;48;49;55
1015;Combien font 18 + 1 ?;19;17;20;21
1016;Combien font 10 + 16 ?;26;16;27;21
1017;Combien font 16 + 7 ?;23;26;20;13
1018;Combien font 22 + 0 ?;22;25;19;17
1019;Combien font 4 + 23 ?;27;28;29;30
1020;Combien font 11 + 13 ?;24;26;22;23
1021;Combien font 6 + 15 ?;21;24;18;22
1022;Combien font 4 + 28 ?;32;34;27;30
1023;Combien font 15 + 6 ?;21;24;18;20
1024;Combien font 30 + 0 ?;30;40;25;35
1025;Combien font 18 + 7 ?;25;15;22;23
1026;Combien font 7 + 12 ?;19;16;29;14
1027;Combien font 10 + 7 ?;17;16;18;12
1028;Combien font 19 + 9 ?;28;18;29;38
1029;Combien font 5 + 14 ?;19;17;18;29
1030;Combien font 3 + 23 ?;26;24;27;23
1031;Combien font 8 + 1 ?;9;4;6;7
1032;Combien font 14 + 13 ?;27;25;29;30
1033;Combien font 1 + 9 ?;10;8;12;13
1034;Combien font 47 + 1 ?;48;58;51;45
1035;Combien font 25 + 5 ?;30;32;27;20
1036;Combien font 25 + 1 ?;26;25;36;29
1037;Combien font 12 + 17 ?;29;24;34;27
1038;Combien font 11 + 10 ?;21;16;18;22
1039;Combien font 29 + 0 ?;29;27;19;30
1040;Combien font 19 + 19 ?;38;28;36;39
1041;Combien font 12 + 5 ?;17;16;14;15
1042;Combien font 38 + 10 ?;48;49;50;51
1043;Combien font 9 + 16 ?;25;26;28;23
1044;Combien font 7 + 15 ?;22;32;24;23
1045;Combien font 7 + 4 ?;11;8;13;6
1046;Combien font 7 + 29 ?;36;35;37;31
1047;Combien font 47 + 3 ?;50;49;51;55
1048;Combien font 2 + 22 ?;24;29;21;23
1049;Combien font 22 + 2 ?;24;25;29;21
1050;Combien font 13 + 12 ?;25;24;22;15
1051;Combien font 23 + 3 ?;26;25;28;21
1052;Combien font 29 + 4 ?;33;32;43;35
1053;Combien font 14 + 5 ?;19;24;16;14
1054;Combien font 2 + 15 ?;17;27;14;15
1055;Combien font 0 + 19 ?;19;9;29;22
1056;Combien font 10 + 38 ?;48;58;53;46
1057;Combien font 22 + 3 ?;25;35;30;15
1058;Combien font 13 + 11 ?;24;19;26;27
1059;Combien font 26 + 3 ?;29;34;28;30
1060;Combien font 37 + 4 ?;41;42;51;44
1061;Combien font 31 - 1 ?;30;33;27;29
1062;Combien font 21 - 2 ?;19;17;21;9
1063;Combien font 12 - 5 ?;7;2;5;6
