id;categorie;nom;classe
1;chat;Grisou;CP
2;chat;Suki;CE1
3;chat;Sylvain;CE2
4;chat;Luna;CM1
5;chat;Nova;CM2
6;chien;Bandit;CP
7;chien;Rex;CE1
8;chien;Neige;CE2
9;chien;Ombre;CM1
10;chien;Titan;CM2
11;renard;Goupil;CP
12;renard;Givre;CE1
13;renard;Perle;CE2
14;renard;Flamèche;CM1
15;renard;Étoile;CM2
16;lapin;Pâquerette;CP
17;lapin;Duvet;CE1
18;lapin;Bouclette;CE2
19;lapin;Clairelune;CM1
20;lapin;Iris;CM2
21;hippocampe;Corallie;CP
22;hippocampe;Vague;CE1
23;hippocampe;Abysse;CE2
24;hippocampe;Diamantine;CM1
25;hippocampe;Opaline;CM2
26;dragon;Ronce;CP
27;dragon;Braise;CE1
28;dragon;Frimas;CE2
29;dragon;Or;CM1
30;dragon;Nébula;CM2
31;aigle;Plume;CP
32;aigle;Blizzard;CE1
33;aigle;Icare;CE2
34;aigle;Foudre;CM1
35;aigle;Zéphyr;CM2
36;raton-laveur;Filou;CP
37;raton-laveur;Ivoire;CE1
38;raton-laveur;Rouky;CE2
39;raton-laveur;Minuit;CM1
40;raton-laveur;Domino;CM2
41;souris;Blé;CP
42;souris;Perline;CE1
43;souris;Grison;CE2
44;souris;Pixel;CM1
45;souris;Confetti;CM2
46;girafe;Girafon;CP
47;girafe;Flocon;CE1
48;girafe;Tacha;CE2
49;girafe;Astra;CM1
50;girafe;Prisme;CM2
51;hippopotame;Nil;CP
52;hippopotame;Rosalie;CE1
53;hippopotame;Glouglou;CE2
54;hippopotame;Séléna;CM1
55;hippopotame;Kaléido;CM2
56;licorne;Trèfle;CP
57;licorne;Velours;CE1
58;licorne;Fleurette;CE2
59;licorne;Ambre;CM1
60;licorne;Iridia;CM2
61;maki-catta;Rikiki;CP
62;maki-catta;Ambroise;CE1
63;maki-catta;Blanchon;CE2
64;maki-catta;Nocta;CM1
65;maki-catta;Zigzag;CM2
66;éléphant;Baobab;CP
67;éléphant;Praline;CE1
68;éléphant;Frimousse;CE2
69;éléphant;Pépite;CM1
70;éléphant;Mirage;CM2
71;panda;Bambou;CP
72;panda;Cannelle;CE1
73;panda;Poudreuse;CE2
74;panda;Encre;CM1
75;panda;Bonbon;CM2
76;vache;Marguerite;CP
77;vache;Angus;CE1
78;vache;Bruyère;CE2
79;vache;Lactée;CM1
80;vache;Caramel;CM2
81;lézard;Basilic;CP
82;lézard;Sable;CE1
83;lézard;Mango;CE2
84;lézard;Opale;CM1
85;lézard;Comète;CM2
86;bouquetin;Edelweiss;CP
87;bouquetin;Alpage;CE1
88;bouquetin;Écu;CE2
89;bouquetin;Pénombre;CM1
90;bouquetin;Zénith;CM2
91;dauphin;Marin;CP
92;dauphin;Coquille;CE1
93;dauphin;Écho;CE2
94;dauphin;Cristal;CM1
95;dauphin;Sirène;CM2
96;requin;Corsaire;CP
97;requin;Mako;CE1
98;requin;Léviathan;CE2
99;requin;Glacia;CM1
100;requin;Arc;CM2
101;crevette;Bulle;CP
102;crevette;Papaye;CE1
103;crevette;Gouttelette;CE2
104;crevette;Stellaire;CM1
105;crevette;Pastel;CM2
106;baleine;Onde;CP
107;baleine;Nacre;CE1
108;baleine;Voûte;CE2
109;baleine;Amphitrite;CM1
110;baleine;Aurore;CM2
111;chauve-souris;Poussière;CP
112;chauve-souris;Crépuscule;CE1
113;chauve-souris;Blanchette;CE2
114;chauve-souris;Cendra;CM1
115;chauve-souris;Éclipse;CM2
116;fourmi;Miette;CP
117;fourmi;Groseille;CE1
118;fourmi;Épi;CE2
119;fourmi;Ambroisie;CM1
120;fourmi;Scintille;CM2
121;cameleon;Pistache;CP
122;cameleon;Moka;CE1
123;cameleon;Kiwi;CE2
124;cameleon;Miroir;CM1
125;cameleon;Camaïeu;CM2
