id;text;correct_answer;choice_2;choice_3;choice_4
42000;Quel nombre vient après ? 1, 2, 4, 5, 7, …;8;9;6;10
42001;Quel nombre vient après ? 2, 4, 8, 16, …;32;24;18;20
42002;L'oiseau vole. Le poisson…;nage;court;saute;marche
42003;Le jour est à la nuit ce que le chaud est…;au froid;à la pluie;à l'été;au vent
42004;Tous les chats sont des animaux. Félix est un chat. Donc Félix est…;un animal;un chien;une plante;un objet
42005;Lequel de ces aliments n'est pas un fruit ? 🍎 🍌 🥕 🍊;🥕;🍎;🍌;🍊
42006;Quelle lettre vient après ? A, D, G, J, …;M;L;K;N
42007;Dans une grille, le rond est en haut à gauche. On le déplace de 2 cases vers la droite. Où est-il ?;en haut à droite;en bas à gauche;au milieu;en bas à droite
42008;Quel nombre vient après ? 32, 16, 8, 4, …;2;1;6;0
42009;Léo est plus grand que Zoé. Zoé est plus grand que Nino. Qui est le plus petit ?;Nino;Léo;Zoé;Impossible à savoir
42010;Quel nombre vient après ? 22, 29, 38, 45, 54, …;61;62;60;54
42011;Quel nombre vient après ? 3, 10, 6, 13, 9, …;16;17;15;9
42012;Quel nombre vient après ? 12, 16, 18, 22, 24, …;28;29;27;24
42013;Quel nombre vient après ? 48, 51, 38, 41, 28, …;31;32;30;28
42014;Quel nombre vient après ? 45, 55, 48, 58, 51, …;61;62;60;51
42015;Quel nombre vient après ? 79, 81, 75, 77, 71, …;73;74;72;71
42016;Quel nombre vient après ? 75, 78, 80, 83, 85, …;88;89;87;85
42017;Quel nombre vient après ? 13, 15, 10, 12, 7, …;9;10;8;7
42018;Quel nombre vient après ? 61, 67, 74, 80, 87, …;93;94;92;87
42019;Quel nombre vient après ? 24, 32, 47, 55, 70, …;78;79;77;70
42020;Quel nombre vient après ? 6, 9, 14, 17, 22, …;25;26;24;22
42021;Quel nombre vient après ? 47, 59, 47, 59, 47, …;59;60;58;47
42022;Quel nombre vient après ? 75, 89, 81, 95, 87, …;101;102;100;87
42023;Quel nombre vient après ? 29, 42, 51, 64, 73, …;86;87;85;73
42024;Quel nombre vient après ? 78, 86, 78, 86, 78, …;86;87;85;78
42025;Quel nombre vient après ? 35, 49, 63, 77, 91, …;105;106;104;91
42026;Quel nombre vient après ? 1, 4, 5, 8, 9, …;12;13;11;9
42027;Quel nombre vient après ? 45, 55, 42, 52, 39, …;49;50;48;39
42028;Quel nombre vient après ? 14, 24, 20, 30, 26, …;36;37;35;26
42029;Quel nombre vient après ? 28, 34, 40, 46, 52, …;58;59;57;52
42030;Quel nombre vient après ? 55, 65, 77, 87, 99, …;109;110;108;99
42031;Quel nombre vient après ? 15, 28, 27, 40, 39, …;52;53;51;39
42032;Quel nombre vient après ? 79, 82, 85, 88, 91, …;94;95;93;91
42033;Quel nombre vient après ? 34, 45, 50, 61, 66, …;77;78;76;66
42034;Quel nombre vient après ? 35, 37, 36, 38, 37, …;39;40;38;37
42035;Quel nombre vient après ? 7, 10, 22, 25, 37, …;40;41;39;37
42036;Quel nombre vient après ? 8, 13, 5, 10, 2, …;7;8;6;2
42037;Quel nombre vient après ? 69, 78, 65, 74, 61, …;70;71;69;61
42038;Quel nombre vient après ? 36, 49, 57, 70, 78, …;91;92;90;78
