id;text;correct_answer;choice_2;choice_3;choice_4
1201;Combien font 316 + 115 ?;431;426;432;434
1202;Combien font 111 + 445 ?;556;546;557;566
1203;Combien font 15 + 474 ?;489;490;494;487
1204;Combien font 163 + 379 ?;542;543;545;544
1205;Combien font 408 + 194 ?;602;612;604;607
1206;Combien font 339 + 310 ?;649;647;648;654
1207;Combien font 439 + 230 ?;669;667;679;671
1208;Combien font 301 + 95 ?;396;401;406;391
1209;Combien font 349 + 399 ?;748;758;750;747
1210;Combien font 28 + 470 ?;498;496;500;493
1211;Combien font 215 + 215 ?;430;433;440;420
1212;Combien font 347 + 213 ?;560;558;561;555
1213;Combien font 26 + 464 ?;490;487;491;480
1214;Combien font 149 + 288 ?;437;432;439;447
1215;Combien font 190 + 128 ?;318;308;316;313
1216;Combien font 58 + 103 ?;161;163;166;162
1217;Combien font 113 + 139 ?;252;251;242;255
1218;Combien font 344 + 478 ?;822;823;820;821
1219;Combien font 145 + 115 ?;260;259;257;250
1220;Combien font 184 + 276 ?;460;461;465;455
1221;Combien font 425 + 382 ?;807;805;810;806
1222;Combien font 151 + 306 ?;457;458;460;456
1223;Combien font 459 + 297 ?;756;755;759;746
1224;Combien font 56 + 67 ?;123;120;122;124
1225;Combien font 276 + 346 ?;622;627;632;612
1226;Combien font 168 + 450 ?;618;621;613;628
1227;Combien font 418 + 231 ?;649;644;647;659
1228;Combien font 189 + 60 ?;249;254;248;259
1229;Combien font 88 + 143 ?;231;229;221;241
1230;Combien font 102 + 70 ?;172;177;173;182
1231;Combien font 591 - 284 ?;307;312;310;302
1232;Combien font 299 - 32 ?;267;264;272;270
1233;Combien font 812 - 440 ?;372;382;371;377
1234;Combien font 588 - 317 ?;271;274;276;268
1235;Combien font 920 - 347 ?;573;574;575;570
1236;Combien font 277 - 136 ?;141;139;140;138
1237;Combien font 478 - 403 ?;75;80;85;74
1238;Combien font 829 - 495 ?;334;339;329;332
1239;Combien font 329 - 293 ?;36;35;41;34
1240;Combien font 702 - 401 ?;301;296;311;304
1241;Combien font 959 - 452 ?;507;510;506;505
1242;Combien font 683 - 382 ?;301;296;304;300
1243;Combien font 858 - 385 ?;473;483;471;475
1244;Combien font 922 - 71 ?;851;852;850;853
1245;Combien font 848 - 79 ?;769;767;772;759
1246;Combien font 935 - 215 ?;720;717;721;722
1247;Combien font 547 - 66 ?;481;478;480;471
1248;Combien font 519 - 396 ?;123;126;125;124
1249;Combien font 968 - 317 ?;651;654;652;648
1250;Combien font 275 - 14 ?;261;259;258;256
