id;type;text;correct_answer;choice_2;choice_3;choice_4;passage_id;qtype
23000;passage;"Léa est à la plage. Elle est avec son papa. Elle prend un seau bleu. Elle prend une pelle rouge. Elle creuse le sable. Elle fait un château.

Le château à quatre tours. Elle met un drapeau jaune. Papa donne des coquillages. Elle orne le château. La mer vient tout près. Elle rit très fort. Elle rit un peu.";;;;;;
23001;question;Où est Léa ?;à la plage;à la piscine;à la maison;au parc;23000;L
23002;question;Avec qui est Léa ?;son papa;sa maman;son frère;sa mamie;23000;L
23003;question;De quelle couleur est le seau de Léa ?;bleu;rouge;vert;jaune;23000;L
23004;question;De quelle couleur est la pelle ?;rouge;bleue;verte;noire;23000;L
23005;question;Qu'est-ce que Léa construit ?;un château de sable;une cabane;un bonhomme de neige;un bateau;23000;L
23006;question;Combien de tours à le château ?;quatre;deux;trois;cinq;23000;L
23007;question;De quelle couleur est le drapeau ?;jaune;bleu;rouge;vert;23000;L
23008;question;Qu'est-ce que le papa apporte ?;des coquillages;des fleurs;des bonbons;des jouets;23000;L
23009;question;Qu'est-ce qui arrive tout près ?;la mer;la pluie;la nuit;le vent;23000;L
23010;question;Que fait Léa à la fin ?;elle rit;elle pleure;elle dort;elle part;23000;L
23011;passage;"Hugo va à la ferme. Il est avec sa classe. La maîtresse montre les animaux. Il voit des poules blanches. Il caresse un lapin gris. Une vache mange de l'herbe.

Il donne du pain. Il donne le pain à une chèvre. Il entend un coq chanter. Les enfants mangent dehors. Il aime cette sortie. Tout le monde rentre content.

Il rit un peu. Il fait beau.";;;;;;
23012;question;Où va Hugo ?;à la ferme;à la piscine;au musée;au zoo;23011;L
23013;question;Avec qui y va-t-il ?;sa classe;sa famille;son papa;ses cousins;23011;L
23014;question;De quelle couleur sont les poules ?;blanches;noires;grises;rousses;23011;L
23015;question;Quel animal Hugo caresse-t-il ?;un lapin;un chat;un chien;un mouton;23011;L
23016;question;Que mange la vache ?;de l'herbe;des carottes;du pain;des graines;23011;L
23017;question;À qui Hugo donne-t-il du pain ?;une chèvre;un cheval;un cochon;un âne;23011;L
23018;question;Qu'est-ce que Hugo entend chanter ?;un coq;un oiseau;une vache;un chien;23011;L
23019;question;Que font les enfants à midi ?;ils mangent dehors;ils dorment;ils jouent au ballon;ils dessinent;23011;L
23020;question;Où mangent les enfants ?;dehors;dans la classe;dans le bus;à la cantine;23011;L
23021;question;Comment Hugo se sent-il à la fin ?;content;triste;fatigué;en colère;23011;L
23022;passage;"Nora part en randonnée. Elle est avec sa maman. Elles marchent sur un sentier. Elle voit des fleurs violettes. Elle entend une cascade.

Un écureuil passe le chemin. Elle boit de l'eau. En haut, on voit le village. Elle est fière. Elle a fait toute la montée.

Elle rit un peu. Il fait beau. Le jour est doux.";;;;;;
23023;question;Avec qui Nora part-elle en randonnée ?;sa maman;son papa;sa mamie;sa classe;23022;L
23024;question;Où marchent-elles ?;sur un sentier;sur la plage;dans une rue;dans un jardin;23022;L
23025;question;De quelle couleur sont les fleurs ?;violettes;jaunes;rouges;blanches;23022;L
23026;question;Qu'est-ce que Nora entend ?;une cascade;un train;un chien;la mer;23022;L
23027;question;Quel animal traverse le chemin ?;un écureuil;un lapin;un renard;un oiseau;23022;L
23028;question;Que boit Nora ?;de l'eau;du jus;du lait;du chocolat chaud;23022;L
23029;question;Que voit-on en haut ?;le village;la mer;la ferme seulement;la forêt seulement;23022;L
23030;question;Comment Nora se sent-elle en haut ?;fière;triste;en colère;déçue;23022;L
23031;question;Qui accompagne Nora pendant la randonnée ?;sa maman;ses cousins;ses amis;son grand frère;23022;L
23032;question;Qu'a fait Nora à la fin ?;toute la montée;seulement un petit tour;demi-tour;rien du tout;23022;L
23033;passage;"Tom va à la fête foraine. Il est avec son grand frère. Il monte sur le manège. Il mange une barbe à papa.

Il gagne un ours en peluche. Les lumières brillent la nuit. Il entend de la musique. Il rit sur les autos tamponneuses. Quelle belle soirée pour Il !

Il rit un peu. Il fait beau.";;;;;;
23034;question;Avec qui Tom va-t-il à la fête foraine ?;son grand frère;sa mamie;sa classe;son papa;23033;L
