id;type;text;correct_answer;choice_2;choice_3;choice_4;passage_id;qtype
27000;passage;Léa passe ses vacances d'été au bord de la mer avec ses parents et son petit frère. Sa famille revient chaque année dans cette même petite station balnéaire depuis plusieurs générations. Ce matin-là, la marée est particulièrement basse. Une vaste étendue de sable humide et compact se dégage devant la plage. Léa décide alors de construire le plus grand château de sable qu'elle n'ait jamais tenté. Elle choisit avec soin son emplacement. Il doit être assez proche de l'eau pour que le sable soit facile à modeler. Mais il doit aussi être assez loin pour retarder l'arrivée de la marée montante. Elle commence par creuser un large fosse circulaire. Ce fosse servira de douves protectrices autour de sa future forteresse. Son petit frère l'aide avec enthousiasme en transportant des seaux d'eau depuis le bord de mer. Avec beaucoup de patience, Léa empile ensuite plusieurs tours de hauteurs différentes. Elle tasse soigneusement le sable à chaque étage à l'aide d'un seau retourne. Cela garantit une meilleure solidité à sa construction. Pour finir son oeuvre, elle utilise une collection de coquillages nacres trouvée un peu plus tôt sur la plage. Elle les dispose avec beaucoup de goût le long des murailles imaginaires de son château. Des algues brunes séchées viennent compléter joliment le décor. Elles font office de petits drapeaux flottants au sommet de chaque tour patiemment construite par la fillette passionnée. Peu à peu, une petite foule d'enfants curieux et de parents amusés s'approche pour observer cette impressionnante réalisation. Certains proposent même spontanément leur aide pour enrichir encore la construction. Malheureusement, en fin d'après-midi, la marée commence à remonter. Elle grignote peu à peu les douves si soigneusement creusées quelques heures auparavant par la jeune architecte en herbe. Plutôt que de se décourager face à cette disparition inévitable, Léa prend une photo de sa création avant qu'elle ne soit engloutie par l'eau. Elle se promet déjà de recommencer, encore plus grand, dès le lendemain.;;;;;;
27001;question;Où Léa passe-t-elle ses vacances d'été chaque année ?;dans une petite station balnéaire familiale;à la montagne uniquement;à la campagne chez ses grands-parents;en ville chez sa tante;27000;L
27002;question;Que décide de construire Léa profitant de la marée basse ?;le plus ambitieux château de sable jamais entrepris;un simple trou dans le sable;une piscine naturelle creusée;un abri contre le vent;27000;L
27003;question;Qui aide Léa en transportant des seaux d'eau ?;son petit frère;sa maman;un enfant inconnu;personne ne l'aide;27000;L
27004;question;Avec quoi Léa décore-t-elle les murailles de son château ?;des coquillages nacres;des cailloux ronds;des fleurs séchées;des morceaux de bois flotte;27000;L
27005;question;Que se passe-t-il en fin d'après-midi concernant la marée ?;elle entame sa remontée et grignote les douves;elle reste totalement basse toute la journée;elle se retire encore davantage;il n'y à pas de marée ce jour-là;27000;L
27006;question;Que fait Léa avant que son château ne soit englouti ?;elle le photographie fièrement;elle le détruit elle-même;elle pleure sans agir;elle demande de l'aide pour le sauver;27000;L
27007;question;Que veut dire 'inexorablement' à propos de la remontée de la marée ?;de façon inévitable, sans qu'on puisse l'arrêter;de façon très hésitante et incertaine;de manière totalement imprévisible;de façon extrêmement lente et discrète;27000;V
27008;question;Que veut dire 's'attroupe' à propos de la foule autour du château de Léa ?;se rassemble progressivement en groupe;se disperse rapidement dans toutes les directions;reste immobile et silencieuse à distance;critique ouvertement la construction observée;27000;V
27009;question;Que veut dire 'érigées' à propos des tours construites par Léa ?;construites et dressées avec soin;détruites volontairement;abandonnées en cours de construction;dessinées uniquement sur le sable;27000;V
27010;question;Que veut dire 'éphémère' à propos de l'oeuvre architecturale réalisée par Léa ?;qui ne dure qu'un temps très court;qui dure indéfiniment sans jamais disparaître;qui est impossible à photographier;qui est interdite d'accès au public;27000;V
27011;question;Que veut dire 'engloutie' à propos du sort final du château de sable ?;recouverte et absorbée complètement par l'eau;transportée intacte vers un autre lieu;vendue à un autre enfant du rivage;reconstruite plus loin sur la plage;27000;V
