id;text;correct_answer;choice_2;choice_3;choice_4
20000;"Comment dit-on ""tableau noir"" en anglais ?";blackboard;ceiling;window;marker
20001;"Comment dit-on ""au milieu, il y a sept éléphants"" en anglais ?";In the middle, there are 7 elephants;In the middle, there are 7 cats;In the middle, there are 7 tigers;In the middle, there are 7 snakes
20002;"Comment dit-on ""japonais"" en anglais ?";Japanese;Chinese;Portuguese;Brazilian
20003;"Comment dit-on ""en haut, il y a six serpents"" en anglais ?";At the top, there are 6 snakes;At the top, there are 6 pigs;At the top, there are 6 cats;At the top, there are 6 birds
20004;"Comment dit-on ""il y a quatre ours"" en anglais ?";There are 4 bears;There are 4 sheep;There are 4 pigs;There are 4 elephants
20005;"Comment dit-on ""en haut, il y a sept chiens"" en anglais ?";At the top, there are 7 dogs;At the top, there are 7 pigs;At the top, there are 7 elephants;At the top, there are 7 horses
20006;"Comment dit-on ""brésilien"" en anglais ?";Brazilian;Australian;Swiss;Welsh
20007;"Comment dit-on ""il y a six lapins"" en anglais ?";There are 6 rabbits;There are 6 birds;There are 6 snakes;There are 6 dogs
20008;"Que veut dire ""writer"" en français ?";écrivain;coiffeur;serveur;plombier
20009;"Comment dit-on ""dinde"" en anglais ?";turkey;turtle;crab;penguin
20010;"Que veut dire ""ear"" en français ?";oreille;ventre;main;oeil
20011;"Comment dit-on ""en bas, il y a sept cochons"" en anglais ?";At the bottom, there are 7 pigs;At the bottom, there are 7 birds;At the bottom, there are 7 snakes;At the bottom, there are 7 fish
20012;"Comment dit-on ""il y a six chiens"" en anglais ?";There are 6 dogs;There are 6 fish;There are 6 birds;There are 6 cats
20013;"Comment dit-on ""à droite, il y a cinq ours"" en anglais ?";On the right, there are 5 bears;On the right, there are 5 frogs;On the right, there are 5 dogs;On the right, there are 5 snakes
20014;"Comment dit-on ""au milieu, il y a quatre éléphants"" en anglais ?";In the middle, there are 4 elephants;In the middle, there are 4 cows;In the middle, there are 4 cats;In the middle, there are 4 sheep
20015;"Que veut dire ""rice"" en français ?";riz;fromage;oeuf;pomme
20016;"Comment dit-on ""pomme de terre"" en anglais ?";potato;honey;sugar;pepper
20017;"Comment dit-on ""à gauche, il y a sept oiseaus"" en anglais ?";On the left, there are 7 birds;On the left, there are 7 monkeys;On the left, there are 7 fish;On the left, there are 7 sheep
