id;text;correct_answer;choice_2;choice_3;choice_4
40000;Quelle forme vient ensuite ? ● ▲ ● ▲ ●;▲;●;■;★
40001;Quel fruit vient ensuite ? 🍎 🍌 🍎 🍌 🍎;🍌;🍎;🍊;🍇
40002;Quel dessin ne va pas avec les autres ? 🐱 🐶 🐰 🍎;🍎;🐱;🐶;🐰
40003;Quelle forme est différente ? ● ● ▲ ●;▲;●;■;★
40004;Le chat 🐱 fait miaou. Le chien 🐶 fait…;ouaf;miaou;meuh;cot cot
40005;Quel est l'animal le plus grand ? 🐘 🐭 🐱 🐰;🐘;🐭;🐱;🐰
40006;Quel nombre vient après ? 1, 2, 3, 4, …;5;6;3;10
40007;Quel nombre vient après ? 2, 4, 6, 8, …;10;9;12;7
40008;Léa a 🍎🍎🍎, Tom a 🍎🍎. Qui a le plus de pommes ?;Léa;Tom;Personne;Les deux pareils
40009;Le jour, on se réveille. La nuit, on…;dort;court;mange;chante
40010;Quelle forme vient ensuite ? ★ ♥ ★ ♥ ★ …;♥;★;▲;♦
40011;Quelle forme vient ensuite ? ■ ♥ ■ ♥ ■ …;♥;■;●;★
40012;Quelle forme vient ensuite ? ■ ● ■ ● ■ …;●;■;♦;♥
40013;Quelle forme vient ensuite ? ♥ ▲ ♥ ▲ ♥ …;▲;♥;★;■
40014;Quelle forme vient ensuite ? ♦ ■ ♦ ■ ♦ …;■;♦;♥;★
40015;Quelle forme vient ensuite ? ▲ ■ ▲ ■ ▲ …;■;▲;♥;★
40016;Quelle forme vient ensuite ? ▲ ● ▲ ● ▲ …;●;▲;♦;♥
40017;Quelle forme vient ensuite ? ■ ★ ■ ★ ■ …;★;■;●;▲
40018;Quelle forme vient ensuite ? ■ ▲ ■ ▲ ■ …;▲;■;♥;●
40019;Quelle forme vient ensuite ? ★ ● ★ ● ★ …;●;★;■;♥
40020;Quelle forme vient ensuite ? ▲ ♥ ▲ ♥ ▲ …;♥;▲;■;♦
40021;Quelle forme vient ensuite ? ♥ ● ♥ ● ♥ …;●;♥;♦;★
40022;Quelle forme vient ensuite ? ♥ ♦ ♥ ♦ ♥ …;♦;♥;●;▲
40023;Quelle forme vient ensuite ? ♦ ▲ ♦ ▲ ♦ …;▲;♦;●;★
40024;Quelle forme vient ensuite ? ★ ▲ ★ ▲ ★ …;▲;★;●;♥
40025;Quelle forme vient ensuite ? ♥ ■ ♥ ■ ♥ …;■;♥;▲;♦
40026;Quelle forme vient ensuite ? ● ■ ● ■ ● …;■;●;♦;♥
40027;Quelle forme vient ensuite ? ■ ♦ ■ ♦ ■ …;♦;■;★;●
40028;Quelle forme vient ensuite ? ★ ♦ ★ ♦ ★ …;♦;★;▲;♥
40029;Quelle forme vient ensuite ? ● ★ ● ★ ● …;★;●;♥;♦
40030;Quelle forme vient ensuite ? ★ ■ ★ ■ ★ …;■;★;▲;♥
