id;text;correct_answer;choice_2;choice_3;choice_4
21000;Comment dit-on 'train' en anglais ?;train;car;truck;plane
21001;Que veut dire 'sister' en français ?;soeur;bébé;frère;grand-mère
21002;Comment dit-on 'deux' en anglais ?;two;nine;five;four
21003;Comment dit-on 'marron' en anglais ?;brown;black;green;yellow
21004;Comment dit-on 'pluie' en anglais ?;rain;snow;wind;hot
21005;Comment dit-on 'mars' en anglais ?;march;april;september;june
21006;Comment dit-on 'jambe' en anglais ?;leg;foot;tummy;head
21007;Comment dit-on 'noir' en anglais ?;black;orange;grey;red
21008;Comment dit-on 'huit' en anglais ?;eight;six;one;three
21009;Comment dit-on 'soleil' en anglais ?;sun;cold;snow;rain
21010;Comment dit-on 'bébé' en anglais ?;baby;mom;grandma;sister
21011;Que veut dire 'friday' en français ?;vendredi;mercredi;mardi;lundi
21012;Comment dit-on 'livre' en anglais ?;book;door;chair;table
21013;Comment dit-on 'cheval' en anglais ?;horse;cat;mouse;fish
21014;Comment dit-on 'fromage' en anglais ?;cheese;rice;meat;apple
21015;Que veut dire 'two' en français ?;deux;dix;neuf;quatre
21016;Comment dit-on 'nuage' en anglais ?;cloud;storm;snow;sun
21017;Que veut dire 'shoes' en français ?;chaussures;robe;chemise;chapeau
21018;Comment dit-on 'chaise' en anglais ?;chair;window;door;table
21019;Comment dit-on 'pantalon' en anglais ?;trousers;shoes;hat;coat
21020;Que veut dire 'cook' en français ?;cuisinier;fermier;pompier;policier
21021;Comment dit-on 'règle' en anglais ?;ruler;notebook;book;window
21022;Que veut dire 'baby' en français ?;bébé;grand-mère;frère;grand-père
21023;Comment dit-on 'crayon' en anglais ?;pencil;window;notebook;door
21024;Que veut dire 'bread' en français ?;pain;oeuf;eau;soupe
21025;Comment dit-on 'natation' en anglais ?;swimming;football;tennis;running
21026;Comment dit-on 'bus' en anglais ?;bus;plane;truck;train
21027;Que veut dire 'august' en français ?;août;mars;octobre;juillet
21028;Que veut dire 'november' en français ?;novembre;juin;juillet;mars
21029;Que veut dire 'brother' en français ?;frère;grand-mère;bébé;maman
21030;Comment dit-on 'dix' en anglais ?;ten;one;seven;eight
21031;Que veut dire 'running' en français ?;course;natation;tennis;danse
21032;Que veut dire 'grey' en français ?;gris;violet;orange;rose
21033;Comment dit-on 'août' en anglais ?;august;july;march;september
21034;Comment dit-on 'riz' en anglais ?;rice;egg;soup;water
21035;Que veut dire 'cold' en français ?;froid;chaud;soleil;nuage
21036;Comment dit-on 'blanc' en anglais ?;white;black;purple;pink
21037;Comment dit-on 'avril' en anglais ?;april;march;july;february
21038;Que veut dire 'motorbike' en français ?;moto;voiture;train;bateau
21039;Que veut dire 'doctor' en français ?;docteur;cuisinier;fermier;policier
21040;Que veut dire 'dad' en français ?;papa;grand-père;grand-mère;maman
21041;Comment dit-on 'main' en anglais ?;hand;tummy;nose;mouth
21042;Que veut dire 'dog' en français ?;chien;souris;oiseau;mouton
21043;Comment dit-on 'samedi' en anglais ?;saturday;thursday;wednesday;friday
21044;Comment dit-on 'frère' en anglais ?;brother;baby;dad;sister
21045;Que veut dire 'trousers' en français ?;pantalon;chaussures;robe;chapeau
21046;Comment dit-on 'bateau' en anglais ?;boat;plane;car;bus
21047;Que veut dire 'cow' en français ?;vache;cheval;mouton;oiseau
21048;Que veut dire 'monday' en français ?;lundi;vendredi;mardi;samedi
21049;Comment dit-on 'chaud' en anglais ?;hot;snow;sun;wind
21050;Comment dit-on 'pompier' en anglais ?;firefighter;cook;police officer;teacher
21051;Que veut dire 'pencil' en français ?;crayon;livre;stylo;chaise
21052;Que veut dire 'ten' en français ?;dix;neuf;quatre;huit
21053;Que veut dire 'nine' en français ?;neuf;huit;un;sept
21054;Comment dit-on 'janvier' en anglais ?;january;march;october;may
21055;Que veut dire 'teacher' en français ?;professeur;policier;fermier;docteur
21056;Comment dit-on 'quatre' en anglais ?;four;six;three;seven
21057;Comment dit-on 'gris' en anglais ?;grey;black;purple;brown
21058;Que veut dire 'bedroom' en français ?;chambre;cuisine;salon;salle de bain
21059;Que veut dire 'mouse' en français ?;souris;lapin;chien;cheval
21060;Que veut dire 'ruler' en français ?;règle;crayon;porte;table
21061;Comment dit-on 'février' en anglais ?;february;october;december;august
21062;Que veut dire 'dress' en français ?;robe;pantalon;chaussures;chaussettes
21063;Comment dit-on 'voiture' en anglais ?;car;bus;motorbike;train
21064;Que veut dire 'pink' en français ?;rose;marron;orange;bleu
21065;Que veut dire 'cloud' en français ?;nuage;neige;froid;soleil
21066;Comment dit-on 'professeur' en anglais ?;teacher;farmer;firefighter;dentist
21067;Comment dit-on 'lait' en anglais ?;milk;water;apple;soup
21068;Que veut dire 'thursday' en français ?;jeudi;mardi;dimanche;mercredi
21069;Comment dit-on 'maman' en anglais ?;mom;grandma;brother;baby
21070;Comment dit-on 'salle de bain' en anglais ?;bathroom;roof;garden;kitchen
21071;Que veut dire 'orange' en français ?;orange;rose;marron;blanc
21072;Que veut dire 'one' en français ?;un;quatre;six;neuf
21073;Comment dit-on 'oiseau' en anglais ?;bird;horse;cat;fish
21074;Que veut dire 'truck' en français ?;camion;voiture;bateau;moto
