id;text;correct_answer;choice_2;choice_3;choice_4
12080;___ pars-tu en vacances ?;Quand;Quant;Qu'en;Kan
12081;___ à moi, je reste ici.;Quant;Quand;Qu'en;Kan
12082;Je suis sur ___ vous dites.;qu'en;quand;quant;kan
12083;Il part ___ tarder (immédiatement).;sans;s'en;sens;sang
12084;Elle ___ va déjà (s'en aller).;s'en;sans;sens;sang
12085;Ce parfum a un bon ___ (odeur).;sens;sans;s'en;sang
12086;Il part ___ dire au revoir.;sans;s'en;sens;sang
12087;Elle ___ souvient bien (se souvenir).;s'en;sans;sens;sang
12088;___ les élèves sont présents.;Tous;Tout;Toux;xuoT
12089;Il a mangé ___ le gâteau.;tout;tous;toux;toute
12090;Elles sont ___ contentes.;toutes;tous;tout;toute
12091;___ va bien, merci.;Tout;Tous;Toux;Toutes
12092;Les enfants sont ___ arrives.;tous;tout;toux;toutes
12093;Quand ___ demanderont, dis la vérité.;quant;quand;qu'en;kan
12094;Je ne sais pas ___ il reviendra.;quand;quant;qu'en;kan
12095;Que signifie le préfixe 're-' dans 'refaire' ?;faire de nouveau;faire le contraire;faire avant;faire vite
12096;Que signifie le préfixe 'de-' dans 'défaire' ?;faire le contraire;faire de nouveau;faire avant;faire vite
12097;Que signifie le préfixe 'in-' dans 'impossible' ?;le contraire de;la même chose que;faire de nouveau;avant
12098;Quel est le contraire de 'content' avec un préfixe ?;mécontent;decontent;incontent;recontent
12099;Quel est le contraire de 'faire' avec un préfixe ?;défaire;refaire;infaire;mecfaire
12100;Quel mot signifie 'plier de nouveau' ?;replier;déplier;implier;complier
12101;Quel préfixe donne le sens 'pas possible' ?;im-;re-;de-;sur-
12102;Quel mot veut dire 'refaire une lecture' ?;relire;délire;inlire;surlire
12103;Quel suffixe transforme 'gentil' en nom de qualité ?;-esse (gentillesse);-tion;-ment;-eur
12104;Quel suffixe transforme 'lent' en adverbe de manière ?;-ment (lentement);-tion;-esse;-eur
12105;Quel suffixe transforme 'nager' en personne qui nage ?;-eur (nageur);-tion;-ment;-esse
12106;Quel suffixe transforme 'inventer' en nom d'action ?;-tion (invention);-ment;-esse;-eur
12107;Quel mot signifie 'action de laver' ?;lavage;lavement;laveur;lavesse
12108;Quel mot désigne celui qui chante ?;chanteur;chantage;chantment;chanture
12109;Quel mot signifie 'de manière rapide' ?;rapidement;rapidage;rapideur;rapidesse
12110;Comment s'écrit le mot pour 'que l'on mange le matin' ?;petit-déjeuner;petit déjeune;petit-déjeune;petitdejeuner
12111;Quel accent porte le 'e' dans 'la mère' ?;accent grave;accent aigu;accent circonflexe;aucun accent
12112;Quel accent porte le 'e' dans 'l'école' ?;accent aigu;accent grave;accent circonflexe;aucun accent
12113;Quel accent porte le 'e' dans 'la fenêtre' ?;accent circonflexe;accent grave;accent aigu;aucun accent
12114;Comment écrit-on correctement : 'il neige' ou 'il neiges' ?;il neige;il neiges;il neigent;il neigea
12115;Quel mot est correctement orthographie : 1) 'immédiatement' 2) 'imediatement' 3) 'immediatemment' ?;immédiatement;imediatement;immediatemment;imediatemment
12116;Quel mot est correctement orthographie : 1) 'développement' 2) 'developement' 3) 'develloppement' ?;développement;developement;develloppement;devellopement
