id;type;text;correct_answer;choice_2;choice_3;choice_4;passage_id;qtype
24000;passage;Léa passe la journée à la plage avec son papa. Elle emporte un seau bleu et une pelle rouge dans son sac. Dès qu'elle arrive près de l'eau, Léa commence à creuser le sable mouillé pour bâtir un grand château. Le château à quatre tours pointues et un petit pont. Léa plante fièrement un drapeau jaune tout en haut de la tour principale. Son papa l'aide à ramasser des coquillages sur le rivage pour décorer les murs. Peu à peu, la marée monte et l'eau vient tout près du château. Léa rit très fort en regardant les vagues s'approcher doucement de sa création.;;;;;;
24001;question;Où Léa passe-t-elle sa journée ?;à la plage;à la piscine;à la maison;au parc;24000;L
24002;question;Avec qui est Léa ?;son papa;sa maman;son frère;sa mamie;24000;L
24003;question;Que emporte Léa dans son sac ?;un seau et une pelle;une serviette et un livre;un ballon et un cerf-volant;des lunettes et une casquette;24000;L
24004;question;De quelle couleur est le seau ?;bleu;rouge;vert;jaune;24000;L
24005;question;De quelle couleur est la pelle ?;rouge;bleue;verte;noire;24000;L
24006;question;Que fait Léa dès qu'elle arrive près de l'eau ?;elle creuse le sable;elle se baigne;elle mange;elle dort;24000;L
24007;question;Combien de tours à le château ?;quatre;deux;trois;cinq;24000;L
24008;question;Que relie les tours ?;un petit pont;un tunnel;une échelle;rien du tout;24000;L
24009;question;De quelle couleur est le drapeau ?;jaune;bleu;rouge;vert;24000;L
24010;question;Où Léa plante-t-elle le drapeau ?;en haut de la tour principale;au bord de l'eau;sur le pont;dans le sable à côté;24000;L
24011;question;Que ramasse le papa de Léa ?;des coquillages;des algues;des cailloux;du bois flotte;24000;L
24012;question;À quoi servent les coquillages ?;à décorer les murs;à manger;à jouer;à rien;24000;L
24013;question;Qu'est-ce qui monte peu à peu ?;la marée;la température;le vent;le soleil;24000;L
24014;question;Où vient l'eau à la fin ?;tout près du château;loin du château;dans le seau;sur la serviette;24000;L
24015;question;Que fait Léa en regardant les vagues ?;elle rit très fort;elle pleure;elle crie de peur;elle s'enfuit;24000;L
24016;question;Comment les vagues s'approchent-elles ?;doucement;très vite;brutalement;elles ne bougent pas;24000;L
24017;question;"Que veut dire ""rivage"" dans le texte ?";le bord de la mer;le fond de l'eau;une île;un bateau;24000;V
24018;question;"Que veut dire ""fièrement"" dans le texte ?";avec fierté;avec tristesse;avec peur;avec colère;24000;V
24019;question;Pourquoi Léa rit-elle en voyant les vagues approcher ?;elle n'a pas peur et s'amuse de son jeu;elle veut que son château soit détruit;elle a peur des vagues;elle est en colère contre la mer;24000;I
24020;question;Que va probablement arriver au château si la marée continue de monter ?;il va être abîme par l'eau;il va devenir plus grand;il va voler;rien ne va changer;24000;I
24021;passage;Hugo part visiter une ferme avec toute sa classe. Dès son arrivée, la maîtresse rassemble les enfants près du poulailler. Hugo observe des poules toutes blanches qui picorent des graines dans la cour. Un peu plus loin, il caresse doucement un lapin gris qui ne bouge presque pas. Dans le pré voisin, une grosse vache brune mange de l'herbe fraîche sans se presser. Hugo tend un morceau de pain à une chèvre curieuse qui vient renifler sa main. Soudain, un coq pousse un cri très fort du haut de son perchoir. A midi, tous les enfants s'installent dehors pour manger leur pique-nique. Hugo trouve cette sortie formidable et rentre à l'école avec le sourire.;;;;;;
24022;question;Où Hugo part-il en sortie ?;à la ferme;au musée;à la piscine;au zoo;24021;L
24023;question;Avec qui part-il ?;sa classe;sa famille;ses cousins;ses voisins;24021;L
24024;question;Qui rassemble les enfants près du poulailler ?;la maîtresse;le fermier;sa maman;personne;24021;L
24025;question;De quelle couleur sont les poules ?;blanches;noires;grises;rousses;24021;L
24026;question;Que font les poules dans la cour ?;elles picorent des graines;elles dorment;elles courent;elles volent;24021;L
24027;question;Quel animal Hugo caresse-t-il ?;un lapin gris;un chat noir;un chien;un mouton;24021;L
24028;question;Où se trouve la vache ?;dans le pré voisin;dans l'étable;dans la cour;au bord de l'eau;24021;L
24029;question;Que mange la vache ?;de l'herbe fraîche;du pain;des carottes;des graines;24021;L
24030;question;Que tend Hugo à la chèvre ?;un morceau de pain;une carotte;de l'herbe;une pomme;24021;L
24031;question;Comment est la chèvre avec Hugo ?;curieuse;effrayée;agressive;indifférente;24021;L
24032;question;D'ou vient le cri du coq ?;du haut de son perchoir;du poulailler ferme;de la cour;du pré;24021;L
24033;question;Que font les enfants à midi ?;ils pique-niquent dehors;ils rentrent à l'école;ils dorment;ils jouent au ballon;24021;L
24034;question;Comment Hugo trouve-t-il cette sortie ?;formidable;ennuyeuse;fatigante;décevante;24021;L
24035;question;Comment Hugo rentre-t-il à l'école ?;avec le sourire;en pleurant;fatigué et fâche;silencieux;24021;L
24036;question;Qui accompagne la classe pendant la visite ?;la maîtresse;le directeur;un parent;personne;24021;L
24037;question;Que fait la vache pendant que Hugo la regarde ?;elle mange sans se presser;elle court;elle dort;elle beugle fort;24021;L
24038;question;"Que veut dire ""picorent"" dans le texte ?";mangent de petits bouts avec leur bec;dorment debout;courent vite;volent bas;24021;V
24039;question;"Que veut dire ""renifler"" dans le texte ?";sentir avec le nez;goûter avec la langue;regarder de près;toucher avec la patte;24021;V
24040;question;Pourquoi la chèvre vient-elle vers Hugo ?;elle sent le pain et veut le manger;elle a peur de lui;elle veut jouer;elle le reconnaît;24021;I
24041;question;Qu'est-ce qui montre que Hugo a aimé la sortie ?;il rentre avec le sourire;il pleure au moment de partir;il ne dit rien;il veut repartir chez lui plus tôt;24021;I
24042;passage;Nora part faire une randonnée en montagne avec sa maman, tôt un samedi matin. Elles empruntent un sentier étroit qui grimpe entre les sapins. Nora remarque des fleurs violettes qui poussent au bord du chemin. Un peu plus haut, elle entend le bruit d'une cascade cachée derrière les rochers. Un écureuil roux traverse soudain le sentier et grimpe dans un arbre. Nora s'arrête pour boire un peu d'eau fraîche de sa gourde. Quand elles atteignent enfin le sommet, on peut voir tout le village en contrebas. Nora se sent très fière d'avoir grimpé jusqu'en haut sans se plaindre.;;;;;;
24043;question;Avec qui Nora part-elle en randonnée ?;sa maman;son papa;sa mamie;sa classe;24042;L
24044;question;Quel jour partent-elles ?;un samedi matin;un dimanche soir;un mercredi;un jour de semaine;24042;L
24045;question;Où passe le sentier qu'elles empruntent ?;entre les sapins;au bord de la mer;dans un village;dans un champ;24042;L
24046;question;De quelle couleur sont les fleurs ?;violettes;jaunes;rouges;blanches;24042;L
24047;question;Où poussent les fleurs ?;au bord du chemin;au sommet;près de la cascade;dans un jardin;24042;L
24048;question;Qu'entend Nora un peu plus haut ?;le bruit d'une cascade;un train;un chien qui aboie;de la musique;24042;L
24049;question;Où se cache la cascade ?;derrière les rochers;sous un pont;dans une grotte;au sommet;24042;L
24050;question;Quel animal traverse le sentier ?;un écureuil roux;un lapin gris;un renard;un cerf;24042;L
24051;question;Où grimpe l'écureuil ?;dans un arbre;sur un rocher;sur Nora;il ne grimpe pas;24042;L
24052;question;Que boit Nora en s'arrêtant ?;de l'eau fraîche de sa gourde;du jus de fruit;du lait;rien du tout;24042;L
24053;question;Que voit-on depuis le sommet ?;tout le village;la mer;une autre montagne seulement;rien, il y a du brouillard;24042;L
24054;question;Comment Nora se sent-elle en haut ?;très fière;déçue;fatiguée et triste;indifférente;24042;L
24055;question;Qu'a fait Nora pendant toute la montée ?;elle n'a pas se plaindre;elle a beaucoup pleure;elle a demandé à rentrer;elle s'est arrêtée tout le temps;24042;L
24056;question;Quand partent Nora et sa maman ?;tôt le matin;en fin d'après-midi;la nuit;à midi;24042;L
24057;question;Qu'est-ce qui pousse au bord du chemin ?;des fleurs violettes;des champignons;des fraises sauvages;rien de particulier;24042;L
24058;question;Quel type de sentier Nora et sa maman empruntent-elles ?;un sentier étroit;une large route;un escalier;un pont suspendu;24042;L
24059;question;"Que veut dire ""étroit"" dans le texte ?";peu large;très long;très pentu;glissant;24042;V
24060;question;"Que veut dire ""en contrebas"" dans le texte ?";plus bas, en dessous;tout en haut;très loin sur le côté;au milieu;24042;V
24061;question;Pourquoi Nora est-elle fière en arrivant au sommet ?;elle a réussi à grimper sans se plaindre;elle a gagné une course;on lui a offert un cadeau;elle a retrouvé des amis;24042;I
24062;question;Qu'est-ce que la randonnée a demandé à Nora ?;de l'effort et de la persévérance;aucun effort particulier;de l'argent;de la chance seulement;24042;I
